date,n_gauges,cc_era5,cc_imerg,cc_mlr,a,b,c,cc_gain_vs_era5,cc_gain_vs_best
2005-06-15,189,0.12,0.03,0.12,0.14,0.0,0.03,0.0,0.0
2005-06-16,189,0.09,0.05,0.1,0.1,0.01,0.0,0.01,0.01
2005-06-17,187,-0.01,-0.02,0.03,-0.77,-0.02,0.03,0.03,0.03
2005-06-18,183,-0.01,-0.01,0.01,-0.05,-0.06,0.01,0.02,0.02
2005-06-19,183,-0.0,-0.03,0.03,-0.03,-0.03,0.04,0.03,0.03
2005-06-20,187,0.05,-0.01,0.06,0.11,-0.07,0.09,0.0,0.0
2005-06-21,196,0.23,0.1,0.24,0.48,0.03,0.09,0.0,0.0
2005-06-22,203,0.03,0.25,0.25,-0.03,0.41,0.28,0.22,0.0
2005-06-23,212,0.07,0.42,0.42,0.08,0.77,-0.13,0.34,0.0
2005-06-24,202,0.27,0.34,0.4,0.77,0.38,0.19,0.13,0.06
2005-06-25,194,0.32,0.16,0.32,0.86,0.06,0.3,0.0,0.0
2005-06-26,193,0.33,0.22,0.33,0.32,0.02,0.13,0.0,0.0
2005-06-27,188,0.4,0.11,0.41,1.23,0.71,0.03,0.01,0.01
2005-06-28,196,0.5,0.44,0.56,0.25,0.18,-0.04,0.06,0.06
2005-06-29,193,0.62,0.48,0.64,2.62,0.75,0.06,0.02,0.02
2005-06-30,185,0.14,-0.02,0.15,0.94,-0.65,0.05,0.01,0.01
2005-07-01,188,0.11,-0.02,0.11,0.38,-0.08,0.04,0.0,0.0
2005-07-02,188,0.15,-0.01,0.15,0.5,-0.44,0.0,0.0,0.0
2005-07-03,185,0.16,0.0,0.16,0.67,-0.01,0.01,0.0,0.0
2005-07-04,187,0.16,-0.02,0.16,0.37,-0.13,0.02,0.0,0.0
2005-07-05,188,-0.02,-0.01,0.02,-0.01,-0.0,0.0,0.04,0.03
2005-07-06,191,-0.03,-0.02,0.03,-0.01,-0.01,0.0,0.07,0.05
2005-07-07,191,-0.03,0.0,0.03,-0.84,-0.0,0.12,0.06,0.03
2005-07-08,193,0.08,0.38,0.38,0.15,0.68,0.04,0.3,0.0
2005-07-09,189,0.06,0.18,0.19,0.09,0.11,0.03,0.13,0.0
2005-07-10,188,-0.01,-0.01,0.01,0.01,-0.02,0.02,0.02,0.02
2005-07-11,193,-0.02,-0.02,0.03,-3.79,-0.37,0.1,0.05,0.05
2005-07-12,193,0.32,0.05,0.32,1.36,-0.02,0.01,0.0,0.0
2005-07-13,197,0.13,0.15,0.17,0.45,0.14,0.2,0.04,0.02
2005-07-14,202,0.16,0.27,0.29,0.26,0.19,0.09,0.12,0.01
2005-07-15,197,0.03,0.29,0.3,-0.42,0.32,0.22,0.27,0.01
2005-07-16,202,0.22,0.26,0.3,0.63,0.33,0.34,0.07,0.04
2005-07-17,196,0.35,0.28,0.41,0.94,0.18,-0.04,0.06,0.06
2005-07-18,198,0.39,0.56,0.57,0.61,0.38,0.23,0.18,0.01
2005-07-19,202,0.18,0.33,0.34,0.5,0.3,0.43,0.16,0.01
2005-07-20,215,0.11,0.46,0.48,-0.44,0.28,0.39,0.37,0.01
2005-07-21,204,0.3,0.31,0.35,0.7,0.28,0.31,0.06,0.04
2005-07-22,209,0.29,0.45,0.49,0.74,0.79,0.05,0.2,0.04
2005-07-23,211,0.07,0.18,0.19,0.06,0.33,1.97,0.11,0.0
2005-07-24,208,-0.02,0.11,0.11,-0.02,0.21,3.49,0.13,0.0
2005-07-25,214,0.14,0.39,0.41,0.18,0.91,2.01,0.27,0.02
2005-07-26,219,-0.0,0.2,0.2,-0.01,0.46,1.75,0.2,0.0
2005-07-27,200,0.29,0.33,0.36,0.32,0.64,0.42,0.07,0.03
2005-07-28,193,0.07,0.34,0.34,0.02,0.81,0.73,0.27,0.0
2005-07-29,196,0.2,0.19,0.23,0.37,0.34,0.88,0.03,0.03
2005-07-30,198,0.32,0.62,0.63,0.18,0.89,-0.01,0.3,0.01
2005-07-31,197,0.28,0.34,0.4,0.47,0.61,1.49,0.12,0.06
2005-08-01,214,0.24,0.36,0.38,0.2,0.28,0.89,0.15,0.02
2005-08-02,217,0.18,0.09,0.2,0.49,0.18,1.88,0.03,0.03
2005-08-03,219,0.15,0.47,0.47,0.26,0.56,1.01,0.32,0.01
2005-08-04,213,0.22,0.29,0.32,0.21,0.55,2.01,0.1,0.03
2005-08-05,216,0.26,0.27,0.31,0.2,0.25,1.63,0.06,0.04
2005-08-06,206,0.23,0.26,0.31,0.28,0.35,1.68,0.08,0.04
2005-08-07,212,0.26,0.13,0.27,0.38,0.08,2.18,0.01,0.01
2005-08-08,219,0.13,0.22,0.25,0.21,0.2,2.64,0.12,0.03
2005-08-09,219,0.18,0.06,0.19,0.32,0.06,3.05,0.0,0.0
2005-08-10,231,0.16,0.23,0.25,0.12,0.31,2.56,0.09,0.02
2005-08-11,224,0.2,0.3,0.31,0.15,0.39,2.62,0.12,0.02
2005-08-12,219,0.27,0.18,0.28,0.59,0.19,2.33,0.01,0.01
2005-08-13,209,0.02,0.37,0.37,-0.07,0.42,1.73,0.35,0.0
2005-08-14,212,0.18,0.37,0.39,0.3,0.59,2.21,0.22,0.02
2005-08-15,214,-0.02,0.06,0.07,-0.05,0.11,2.99,0.09,0.01
2005-08-16,208,0.22,0.56,0.57,0.14,0.79,0.61,0.35,0.01
2005-08-17,193,0.26,0.17,0.26,0.31,0.04,0.56,0.0,0.0
2005-08-18,194,0.23,0.31,0.36,0.95,0.81,0.39,0.13,0.05
2005-08-19,197,0.0,0.19,0.19,0.03,0.2,0.67,0.18,0.0
2005-08-20,200,0.19,0.39,0.43,0.22,0.53,0.47,0.24,0.04
2005-08-21,182,0.26,0.1,0.27,0.47,0.13,0.18,0.01,0.01
2005-08-22,193,0.16,0.12,0.2,0.22,0.09,0.66,0.04,0.04
2005-08-23,209,0.08,0.62,0.62,-0.02,0.58,0.75,0.53,0.0
2005-08-24,212,0.28,0.24,0.35,0.56,0.48,0.43,0.07,0.07
2005-08-25,203,0.28,0.15,0.3,1.14,0.52,0.29,0.02,0.02
2005-08-26,193,0.56,0.7,0.71,0.21,0.48,0.13,0.15,0.01
2005-08-27,188,0.18,0.05,0.18,0.37,-0.05,0.18,0.0,0.0
2005-08-28,189,0.15,0.37,0.37,0.01,0.42,0.05,0.23,0.0
2005-08-29,190,0.09,0.17,0.17,0.19,1.84,0.05,0.08,0.0
